Organisation Unit,Idadi ya Watu
Manyara Region,1640467.2
Mtwara Region,1343972.1
Mara Region,1946095.2
Kilimanjaro Region,1774643.8
Njombe Region,728769.2
Simiyu Region,1720824.7
Tanga Region,2259684.0
Morogoro Region,2464200.8
Ruvuma Region,1514061.8
Shinyanga Region,1683133.7
Kigoma Region,2368354.9
Katavi Region,651617.4
Geita Region,1955311.4
Mwanza Region,3164143.2
Songwe Region,976309.5
Lindi Region,902917.0
Singida Region,1520321.9
Arusha Region,1914001.5
Kagera Region,2828177.3
Tabora Region,2609533.9
Pwani Region,1210286.8
Mbeya Region,2078907.1
Iringa Region,991481.0
Dar Es Salaam Region,5588677.6
Rukwa Region,1157923.7
Dodoma Region,2287222.2
